"address_code","state","city","section","street","area_code","postal_code","number_of_household","number_of_people","remarks","polygon"
"041010080001","宮城県","仙台市青葉区","赤坂一丁目","","","","","","",""
"041010080002","宮城県","仙台市青葉区","赤坂二丁目","","","","","","",""
"041010080003","宮城県","仙台市青葉区","赤坂三丁目","","","","","","",""
"041010081001","宮城県","仙台市青葉区","折立一丁目","","","","","","",""
"041010081002","宮城県","仙台市青葉区","折立二丁目","","","","","","",""
"041010081003","宮城県","仙台市青葉区","折立三丁目","","","","","","",""
"041010081004","宮城県","仙台市青葉区","折立四丁目","","","","","","",""
"041010081005","宮城県","仙台市青葉区","折立五丁目","","","","","","",""
"041010081006","宮城県","仙台市青葉区","折立六丁目","","","","","","",""
"041010082000","宮城県","仙台市青葉区","千代田町","","","","","","",""
"041010083000","宮城県","仙台市青葉区","川内","","","","","","",""
"041010084000","宮城県","仙台市青葉区","川内亀岡町","","","","","","",""
"041010085000","宮城県","仙台市青葉区","川内亀岡北裏丁","","","","","","",""
"041010086000","宮城県","仙台市青葉区","川内元支倉","","","","","","",""
"041010087000","宮城県","仙台市青葉区","川内三十人町","","","","","","",""
"041010088000","宮城県","仙台市青葉区","川内山屋敷","","","","","","",""
"041010089000","宮城県","仙台市青葉区","川内川前丁","","","","","","",""
"041010090000","宮城県","仙台市青葉区","川内大工町","","","","","","",""
"041010091000","宮城県","仙台市青葉区","川内中ノ瀬町","","","","","","",""
"041010092000","宮城県","仙台市青葉区","川内追廻","","","","","","",""
"041010093000","宮城県","仙台市青葉区","川内澱橋通","","","","","","",""
"041010094000","宮城県","仙台市青葉区","川内明神横丁","","","","","","",""
"041010095001","宮城県","仙台市青葉区","川平一丁目","","","","","","",""
"041010095002","宮城県","仙台市青葉区","川平二丁目","","","","","","",""
"041010095003","宮城県","仙台市青葉区","川平三丁目","","","","","","",""
"041010095004","宮城県","仙台市青葉区","川平四丁目","","","","","","",""
"041010095005","宮城県","仙台市青葉区","川平五丁目","","","","","","",""
"041010096001","宮城県","仙台市青葉区","双葉ケ丘一丁目","","","","","","",""
"041010096002","宮城県","仙台市青葉区","双葉ケ丘二丁目","","","","","","",""
"041010097001","宮城県","仙台市青葉区","台原一丁目","","","","","","",""
"041010097002","宮城県","仙台市青葉区","台原二丁目","","","","","","",""
"041010097003","宮城県","仙台市青葉区","台原三丁目","","","","","","",""
"041010097004","宮城県","仙台市青葉区","台原四丁目","","","","","","",""
"041010097005","宮城県","仙台市青葉区","台原五丁目","","","","","","",""
"041010097006","宮城県","仙台市青葉区","台原六丁目","","","","","","",""
"041010097007","宮城県","仙台市青葉区","台原七丁目","","","","","","",""
"041010098000","宮城県","仙台市青葉区","台原森林公園","","","","","","",""
"041010099000","宮城県","仙台市青葉区","大手町","","","","","","",""
"041010100000","宮城県","仙台市青葉区","大倉字夜盗沢","","","","","","",""
"041010101001","宮城県","仙台市青葉区","大町一丁目","","","","","","",""
"041010101002","宮城県","仙台市青葉区","大町二丁目","","","","","","",""
"041010102000","宮城県","仙台市青葉区","滝道","","","","","","",""
"041010103001","宮城県","仙台市青葉区","中央一丁目","","","","","","",""
"041010103002","宮城県","仙台市青葉区","中央二丁目","","","","","","",""
"041010103003","宮城県","仙台市青葉区","中央三丁目","","","","","","",""
"041010103004","宮城県","仙台市青葉区","中央四丁目","","","","","","",""
"041010104001","宮城県","仙台市青葉区","中江一丁目","","","","","","",""
"041010104002","宮城県","仙台市青葉区","中江二丁目","","","","","","",""
"041010105001","宮城県","仙台市青葉区","中山一丁目","","","","","","",""
"041010105002","宮城県","仙台市青葉区","中山二丁目","","","","","","",""
"041010105003","宮城県","仙台市青葉区","中山三丁目","","","","","","",""
"041010105004","宮城県","仙台市青葉区","中山四丁目","","","","","","",""
"041010105005","宮城県","仙台市青葉区","中山五丁目","","","","","","",""
"041010105006","宮城県","仙台市青葉区","中山六丁目","","","","","","",""
"041010105007","宮城県","仙台市青葉区","中山七丁目","","","","","","",""
"041010105008","宮城県","仙台市青葉区","中山八丁目","","","","","","",""
"041010105009","宮城県","仙台市青葉区","中山九丁目","","","","","","",""
"041010106001","宮城県","仙台市青葉区","中山吉成一丁目","","","","","","",""
"041010106002","宮城県","仙台市青葉区","中山吉成二丁目","","","","","","",""
"041010106003","宮城県","仙台市青葉区","中山吉成三丁目","","","","","","",""
"041010107001","宮城県","仙台市青葉区","中山台一丁目","","","","","","",""
"041010107002","宮城県","仙台市青葉区","中山台二丁目","","","","","","",""
"041010107003","宮城県","仙台市青葉区","中山台三丁目","","","","","","",""
"041010107004","宮城県","仙台市青葉区","中山台四丁目","","","","","","",""
"041010108001","宮城県","仙台市青葉区","通町一丁目","","","","","","",""
"041010108002","宮城県","仙台市青葉区","通町二丁目","","","","","","",""
"041010109001","宮城県","仙台市青葉区","堤町一丁目","","","","","","",""
"041010109002","宮城県","仙台市青葉区","堤町二丁目","","","","","","",""
"041010109003","宮城県","仙台市青葉区","堤町三丁目","","","","","","",""
"041010110000","宮城県","仙台市青葉区","堤通雨宮町","","","","","","",""
"041010111001","宮城県","仙台市青葉区","土樋一丁目","","","","","","",""
"041010112001","宮城県","仙台市青葉区","東勝山一丁目","","","","","","",""
"041010112002","宮城県","仙台市青葉区","東勝山二丁目","","","","","","",""
"041010112003","宮城県","仙台市青葉区","東勝山三丁目","","","","","","",""
"041010113001","宮城県","仙台市青葉区","東照宮一丁目","","","","","","",""
"041010113002","宮城県","仙台市青葉区","東照宮二丁目","","","","","","",""
"041010114000","宮城県","仙台市青葉区","藤松","","","","","","",""
"041010115001","宮城県","仙台市青葉区","南吉成一丁目","","","","","","",""
"041010115002","宮城県","仙台市青葉区","南吉成二丁目","","","","","","",""
"041010115003","宮城県","仙台市青葉区","南吉成三丁目","","","","","","",""
"041010115004","宮城県","仙台市青葉区","南吉成四丁目","","","","","","",""
"041010115005","宮城県","仙台市青葉区","南吉成五丁目","","","","","","",""
"041010115006","宮城県","仙台市青葉区","南吉成六丁目","","","","","","",""
"041010115007","宮城県","仙台市青葉区","南吉成七丁目","","","","","","",""
"041010116000","宮城県","仙台市青葉区","二日町","","","","","","",""
"041010117000","宮城県","仙台市青葉区","梅田町","","","","","","",""
"041010118001","宮城県","仙台市青葉区","柏木一丁目","","","","","","",""
"041010118002","宮城県","仙台市青葉区","柏木二丁目","","","","","","",""
"041010118003","宮城県","仙台市青葉区","柏木三丁目","","","","","","",""
"041010119001","宮城県","仙台市青葉区","八幡一丁目","","","","","","",""
"041010119002","宮城県","仙台市青葉区","八幡二丁目","","","","","","",""
"041010119003","宮城県","仙台市青葉区","八幡三丁目","","","","","","",""
"041010119004","宮城県","仙台市青葉区","八幡四丁目","","","","","","",""
"041010119005","宮城県","仙台市青葉区","八幡五丁目","","","","","","",""
"041010119006","宮城県","仙台市青葉区","八幡六丁目","","","","","","",""
"041010119007","宮城県","仙台市青葉区","八幡七丁目","","","","","","",""
"041010120000","宮城県","仙台市青葉区","福沢町","","","","","","",""
"041010121001","宮城県","仙台市青葉区","米ケ袋一丁目","","","","","","",""
"041010121002","宮城県","仙台市青葉区","米ケ袋二丁目","","","","","","",""
"041010121003","宮城県","仙台市青葉区","米ケ袋三丁目","","","","","","",""
"041010122001","宮城県","仙台市青葉区","片平一丁目","","","","","","",""
"041010122002","宮城県","仙台市青葉区","片平二丁目","","","","","","",""
"041010123001","宮城県","仙台市青葉区","北根一丁目","","","","","","",""
"041010123002","宮城県","仙台市青葉区","北根二丁目","","","","","","",""
"041010123003","宮城県","仙台市青葉区","北根三丁目","","","","","","",""
"041010123004","宮城県","仙台市青葉区","北根四丁目","","","","","","",""
"041010124000","宮城県","仙台市青葉区","北根黒松","","","","","","",""
"041010125001","宮城県","仙台市青葉区","北山一丁目","","","","","","",""
"041010125002","宮城県","仙台市青葉区","北山二丁目","","","","","","",""
"041010125003","宮城県","仙台市青葉区","北山三丁目","","","","","","",""
"041010126000","宮城県","仙台市青葉区","北目町","","","","","","",""
"041010127001","宮城県","仙台市青葉区","本町一丁目","","","","","","",""
"041010127002","宮城県","仙台市青葉区","本町二丁目","","","","","","",""
"041010127003","宮城県","仙台市青葉区","本町三丁目","","","","","","",""
"041010128000","宮城県","仙台市青葉区","木町","","","","","","",""
"041010129001","宮城県","仙台市青葉区","木町通一丁目","","","","","","",""
"041010129002","宮城県","仙台市青葉区","木町通二丁目","","","","","","",""
"041010130000","宮城県","仙台市青葉区","葉山町","","","","","","",""
"041010131001","宮城県","仙台市青葉区","落合一丁目","","","","","","",""
"041010131002","宮城県","仙台市青葉区","落合二丁目","","","","","","",""
"041010131003","宮城県","仙台市青葉区","落合三丁目","","","","","","",""
"041010131004","宮城県","仙台市青葉区","落合四丁目","","","","","","",""
"041010131005","宮城県","仙台市青葉区","落合五丁目","","","","","","",""
"041010131006","宮城県","仙台市青葉区","落合六丁目","","","","","","",""
"041010132000","宮城県","仙台市青葉区","立町","","","","","","",""
"041010133000","宮城県","仙台市青葉区","霊屋下","","","","","","",""
"041020001001","宮城県","仙台市宮城野区","安養寺一丁目","","","","","","",""
"041020001002","宮城県","仙台市宮城野区","安養寺二丁目","","","","","","",""
"041020001003","宮城県","仙台市宮城野区","安養寺三丁目","","","","","","",""
"041020002001","宮城県","仙台市宮城野区","栄一丁目","","","","","","",""
"041020002002","宮城県","仙台市宮城野区","栄二丁目","","","","","","",""
"041020002003","宮城県","仙台市宮城野区","栄三丁目","","","","","","",""
"041020002004","宮城県","仙台市宮城野区","栄四丁目","","","","","","",""
"041020002005","宮城県","仙台市宮城野区","栄五丁目","","","","","","",""
"041020003001","宮城県","仙台市宮城野区","燕沢一丁目","","","","","","",""
"041020003002","宮城県","仙台市宮城野区","燕沢二丁目","","","","","","",""
